DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_4f8d59e2157afcac0915ac4f19028a2b4bc0255d6c22911b14afb369bb936917.jld2,63.99999999999999,82.0,18.0,NaN,NaN,NaN,NaN,1402.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_4f8d59e2157afcac0915ac4f19028a2b4bc0255d6c22911b14afb369bb936917.jld2,26.4,63.2,36.8,15.02,187.2,0.5780722274457568,1.8965775845977406,14.02
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_4f8d59e2157afcac0915ac4f19028a2b4bc0255d6c22911b14afb369bb936917.jld2,24.0,62.0,38.0,20.0,243.0,0.3063157894736842,2.0287060687525917,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_3c38b79017a8e903fd1a438ebe6fa0db37f87a69a2bee6554c2b53d4aa5fb851.jld2,24.0,62.0,38.0,NaN,NaN,NaN,NaN,1238.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_3c38b79017a8e903fd1a438ebe6fa0db37f87a69a2bee6554c2b53d4aa5fb851.jld2,14.48,57.24,42.76,13.38,157.13,0.5987333910370676,1.8466883838582453,12.38
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_3c38b79017a8e903fd1a438ebe6fa0db37f87a69a2bee6554c2b53d4aa5fb851.jld2,24.0,62.0,38.0,17.0,173.0,0.3175,1.9532538124576762,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_38115f3cf73b1f7c16d05b2508b25d905cd0b0f33f7954b8f553652a56c017df.jld2,60.00000000000001,80.0,20.0,NaN,NaN,NaN,NaN,1271.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_38115f3cf73b1f7c16d05b2508b25d905cd0b0f33f7954b8f553652a56c017df.jld2,35.0,67.5,32.5,13.71,161.65,0.5491182975357976,1.8572686101510198,12.71
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_38115f3cf73b1f7c16d05b2508b25d905cd0b0f33f7954b8f553652a56c017df.jld2,52.0,76.0,24.0,16.0,180.0,0.2946666666666667,1.926038125031612,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_b6acba95fc3be14547107a95245e9f884f321b4dd5586f2d4e06af18f0b58222.jld2,43.99999999999999,72.0,28.0,NaN,NaN,NaN,NaN,1365.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_b6acba95fc3be14547107a95245e9f884f321b4dd5586f2d4e06af18f0b58222.jld2,24.72,62.36,37.64,14.65,181.43,0.5956692718066248,1.8857711358888796,13.65
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_b6acba95fc3be14547107a95245e9f884f321b4dd5586f2d4e06af18f0b58222.jld2,60.00000000000001,80.0,20.0,19.0,210.0,0.3644444444444444,2.0045031809234573,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a870581b56900e40021b1f71b204f969579ed6f13c9885d4aa7881966107668f.jld2,68.0,84.0,16.0,NaN,NaN,NaN,NaN,1425.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a870581b56900e40021b1f71b204f969579ed6f13c9885d4aa7881966107668f.jld2,37.0,68.5,31.5,15.25,194.84,0.5901204892819599,1.9033661934132686,14.25
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a870581b56900e40021b1f71b204f969579ed6f13c9885d4aa7881966107668f.jld2,52.0,76.0,24.0,21.0,231.0,0.225,2.0520561762957055,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a49dac75fd6c77bdd0395e2017d9fe74a4e13b5564745210e84926b9328b89c7.jld2,39.99999999999999,70.0,30.0,NaN,NaN,NaN,NaN,1306.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a49dac75fd6c77bdd0395e2017d9fe74a4e13b5564745210e84926b9328b89c7.jld2,20.32,60.16,39.84,14.06,168.93,0.602942342069695,1.86790339799274,13.06
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_a49dac75fd6c77bdd0395e2017d9fe74a4e13b5564745210e84926b9328b89c7.jld2,15.999999999999993,58.00000000000001,41.99999999999999,20.0,222.0,0.37684210526315787,2.0287060687525917,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_8d07efb02e82f13d6bfbc419421288184e462893682f00d1ff1994f569102ff3.jld2,63.99999999999999,82.0,18.0,NaN,NaN,NaN,NaN,1435.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_8d07efb02e82f13d6bfbc419421288184e462893682f00d1ff1994f569102ff3.jld2,25.52,62.76,37.24,15.35,195.38,0.5920213482922307,1.9061716040025187,14.35
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_8d07efb02e82f13d6bfbc419421288184e462893682f00d1ff1994f569102ff3.jld2,48.0,74.0,26.0,19.0,248.0,0.36333333333333334,2.0045031809234573,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_7b9d5d1b439a7168b945df20f7d02d62a8f3e97e9939318f2623d39ab4845f31.jld2,52.0,76.0,24.0,NaN,NaN,NaN,NaN,1295.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_7b9d5d1b439a7168b945df20f7d02d62a8f3e97e9939318f2623d39ab4845f31.jld2,33.84,66.92,33.08,13.95,168.13,0.5436928566041802,1.8650604394032775,12.95
DL,/home/lele7x/results9/rule-extraction/granular-computing/T1-Covid/intrees/models_cache//model_7b9d5d1b439a7168b945df20f7d02d62a8f3e97e9939318f2623d39ab4845f31.jld2,32.00000000000001,65.99999999999999,34.000000000000014,16.0,179.0,0.3466666666666666,1.926038125031612,NaN
